ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781286746,0.0,start,32039,30718,1321,3091,29677,32768,2160,0.00,0.00,42203
1781286748,2.1,idle,32039,431,31608,32768,0,32768,1007,0.00,0.00,43310
1781286750,4.1,idle,32039,852,31186,32768,0,32768,1668,0.00,0.00,42662
1781286752,6.1,idle,32039,995,31044,32768,0,32768,1889,0.00,0.00,42252
1781286754,8.2,idle,32039,722,31317,32768,0,32768,1889,0.00,0.00,42305
1781286756,10.2,idle,32039,1022,31016,32768,0,32768,1921,0.00,0.00,42156
1781286758,12.2,idle,32039,1018,31021,32768,0,32768,1928,0.00,0.00,42092
1781286761,14.3,idle,32039,706,31333,32768,0,32768,1928,0.00,0.00,42305
1781286763,16.3,idle,32039,898,31141,32768,0,32768,1937,0.00,0.00,42508
1781286765,18.3,idle,32039,975,31064,32768,0,32768,1938,0.00,0.00,42221
1781286767,20.4,idle,32039,670,31369,32768,0,32768,1939,0.00,0.00,42321
1781286769,22.4,idle,32039,829,31210,32768,0,32768,1940,0.00,0.00,42016
1781286771,24.4,idle,32039,951,31088,32768,0,32768,1940,0.00,0.00,42173
1781286773,26.5,idle,32039,951,31088,32768,0,32768,1941,0.00,0.00,42562
1781286775,28.5,idle,32039,789,31250,32768,0,32768,1942,0.00,0.00,42550
1781286777,30.5,idle,32039,918,31121,32768,0,32768,1942,0.00,0.00,42154
1781286779,32.6,idle,32039,968,31071,32768,0,32768,1961,0.00,0.00,42057
1781286781,34.6,idle,32039,1059,30980,32768,0,32768,2144,0.00,0.00,41743
1781286783,36.6,idle,32039,1063,30976,32768,0,32768,2147,0.00,0.00,41800
1781286785,38.7,idle,32039,1058,30981,32768,0,32768,2147,0.00,0.00,41971
1781286787,40.7,idle,32039,1052,30987,32768,0,32768,2147,0.00,0.00,42021
1781286789,42.7,idle,32039,1047,30992,32768,0,32768,2147,0.00,0.00,41920
1781286791,44.8,idle,32039,1045,30994,32768,0,32768,2147,0.00,0.00,41497
1781286793,46.8,idle,32039,1042,30997,32768,0,32768,2147,0.00,0.00,41522
1781286795,48.9,idle,32039,30759,1280,3090,29678,32768,2179,0.00,0.00,41471
1781286797,50.9,idle,32039,30753,1286,3090,29678,32768,2185,0.00,0.00,41824
1781286799,52.9,idle,32039,30744,1294,3090,29678,32768,2187,0.00,0.00,41692
1781286801,55.0,idle,32039,30740,1299,3090,29678,32768,2187,0.00,0.00,41696
1781286803,57.0,idle,32039,30739,1300,3090,29678,32768,2187,0.00,0.00,41683
1781286805,59.1,idle,32039,30738,1301,3090,29678,32768,2187,0.00,0.00,41691
1781286807,61.1,idle,32039,30734,1304,3090,29678,32768,2187,0.00,0.00,41656
1781286809,63.1,idle,32039,30734,1305,3090,29678,32768,2195,0.00,0.00,41607
1781286811,65.2,idle,32039,30738,1300,3090,29678,32768,2197,0.00,0.00,41611
1781286813,67.2,hog-single,32039,31361,677,6180,26588,32768,3058,0.00,0.00,40384
1781286815,69.2,hog-single,32039,27608,4430,12360,20408,32768,7948,0.00,0.00,36105
1781286817,71.3,hog-single,32039,27617,4422,12360,20408,32768,7977,0.72,0.72,36187
1781286820,73.3,hog-single,32039,27621,4418,12360,20408,32768,7985,0.59,0.59,35860
1781286822,75.3,hog-single,32039,27621,4418,12360,20408,32768,7987,0.48,0.48,36289
1781286824,77.4,hog-single,32039,27619,4420,12360,20408,32768,7988,0.39,0.39,36031
1781286826,79.4,hog-single,32039,27617,4422,12360,20408,32768,7993,0.32,0.32,36248
1781286828,81.4,hog-single,32039,21464,10575,12360,20408,32768,7998,0.26,0.26,36271
1781286830,83.5,hog-single,32039,21465,10574,12360,20408,32768,7998,0.21,0.21,36662
1781286832,85.5,hog-single,32039,21465,10574,12360,20408,32768,7999,0.17,0.17,36458
1781286834,87.6,hog-single,32039,21465,10574,12360,20408,32768,7999,0.14,0.14,36451
1781286836,89.6,hog-single,32039,21464,10574,12360,20408,32768,8000,0.09,0.09,36463
1781286838,91.6,hog-single,32039,21458,10581,12360,20408,32768,8006,0.07,0.07,36402
1781286840,93.7,hog-single,32039,21461,10578,12360,20408,32768,8006,0.06,0.06,36031
1781286842,95.7,hog-single,32039,21462,10577,12360,20408,32768,8006,0.05,0.05,36203
1781286844,97.7,hog-single,32039,21462,10577,12360,20408,32768,8006,0.04,0.04,35878
1781286846,99.8,hog-single,32039,21462,10576,12360,20408,32768,8006,0.03,0.03,36073
1781286848,101.8,hog-single,32039,21461,10578,12360,20408,32768,8006,0.02,0.02,36126
1781286850,103.9,hog-single,32039,21460,10579,12360,20408,32768,8006,0.02,0.02,36123
1781286852,105.9,hog-single,32039,21459,10579,12360,20408,32768,8006,0.01,0.01,36011
1781286854,107.9,hog-single,32039,21459,10579,12360,20408,32768,8006,0.01,0.01,36313
1781286856,110.0,hog-single,32039,21460,10579,12360,20408,32768,8006,0.01,0.01,36638
1781286858,112.0,hog-single,32039,21460,10579,12360,20408,32768,8006,0.00,0.00,36661
1781286860,114.0,hog-single,32039,21459,10579,12360,20408,32768,8006,0.00,0.00,36642
1781286862,116.1,hog-single,32039,21459,10580,12360,20408,32768,8006,0.00,0.00,36629
1781286864,118.1,hog-single,32039,21460,10579,12360,20408,32768,8006,0.00,0.00,36880
1781287042,296.2,drift-cycle-0,0,0,0,3100,29668,32768,8078,0.00,0.00,37031
1781287044,298.2,drift-cycle-0,32039,31595,444,12400,20368,32768,8232,89.00,82.64,36703
1781287046,300.2,drift-cycle-0,32039,25750,6289,32768,0,32768,9561,72.87,67.67,36551
1781287049,302.3,drift-cycle-0,32039,7250,24789,32768,0,32768,10527,59.67,55.41,36507
1781287051,304.3,drift-cycle-0,32039,7244,24795,32768,0,32768,10561,48.86,45.37,36449
1781287053,306.3,drift-cycle-0,32039,7256,24783,32768,0,32768,10578,40.01,37.15,36537
1781287055,308.4,drift-cycle-0,32039,7256,24783,32768,0,32768,10581,32.76,30.42,37117
1781287057,310.4,drift-cycle-0,32039,7259,24780,32768,0,32768,10590,26.82,24.91,36745
1781287059,312.4,drift-cycle-0,32039,7257,24782,32768,0,32768,10592,21.96,20.40,36684
1781287061,314.5,drift-cycle-0,32039,1094,30944,32768,0,32768,10594,17.98,16.70,36628
1781287063,316.5,drift-cycle-0,32039,1097,30942,32768,0,32768,10595,14.72,13.67,36522
1781287065,318.5,drift-cycle-0,32039,1102,30937,32768,0,32768,10595,12.06,11.20,36444
1781287067,320.6,drift-cycle-0,32039,1103,30935,32768,0,32768,10595,9.87,9.17,36287
1781287069,322.6,drift-cycle-0,32039,1120,30918,32768,0,32768,10597,8.08,7.50,37571
1781287071,324.6,drift-cycle-0,32039,1123,30916,32768,0,32768,10597,6.62,6.14,36936
1781287073,326.7,drift-cycle-0,32039,1123,30916,32768,0,32768,10597,5.42,5.03,37269
