ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781298727,0.0,maxram=32768/idle,32039,10598,21441,2943,29825,32768,3750,0.00,0.00,36073
1781298729,2.1,maxram=32768/idle,32039,368,31671,32768,0,32768,2838,0.00,0.00,36954
1781298731,4.2,maxram=32768/idle,32039,798,31240,32768,0,32768,3472,0.00,0.00,36036
1781298733,6.3,maxram=32768/idle,32039,812,31227,32768,0,32768,3488,0.00,0.00,35809
1781298735,8.4,maxram=32768/idle,32039,810,31228,32768,0,32768,3489,0.00,0.00,35368
1781298738,10.5,maxram=32768/idle,32039,807,31232,32768,0,32768,3489,0.00,0.00,35587
1781298740,12.5,maxram=32768/idle,32039,809,31230,32768,0,32768,3492,0.00,0.00,35469
1781298742,14.6,maxram=32768/idle,32039,793,31246,32768,0,32768,3518,0.00,0.00,35668
1781298744,16.6,maxram=32768/idle,32039,927,31112,32768,0,32768,3714,0.00,0.00,35572
1781298746,18.6,maxram=32768/idle,32039,966,31073,32768,0,32768,3760,0.00,0.00,35343
1781298748,20.7,maxram=32768/idle,32039,979,31060,32768,0,32768,3795,0.00,0.00,35721
1781298750,22.7,maxram=32768/idle,32039,996,31042,32768,0,32768,3828,0.00,0.00,35703
1781298752,24.7,maxram=32768/idle,32039,997,31042,32768,0,32768,3832,0.00,0.00,35517
1781298754,26.8,maxram=32768/idle,32039,990,31049,32768,0,32768,3841,0.00,0.00,35307
1781298756,28.8,maxram=32768/idle,32039,993,31046,32768,0,32768,3845,0.00,0.00,33969
1781298758,30.8,maxram=32768/idle,32039,957,31082,32768,0,32768,3851,0.00,0.00,34207
1781298760,32.9,maxram=32768/idle,32039,956,31083,32768,0,32768,3855,0.00,0.00,33552
1781298762,35.2,maxram=32768/idle,32039,957,31082,32768,0,32768,3856,0.00,0.00,35092
1781298764,37.3,maxram=32768/idle,32039,950,31089,32768,0,32768,3859,0.00,0.00,35134
1781298766,39.3,maxram=32768/idle,32039,948,31090,32768,0,32768,3862,0.00,0.00,35300
1781298768,41.3,maxram=32768/idle,32039,943,31096,32768,0,32768,3863,0.00,0.00,35079
1781298770,43.4,maxram=32768/idle,32039,940,31098,32768,0,32768,3867,0.00,0.00,34890
1781298772,45.4,maxram=32768/idle,32039,936,31103,32768,0,32768,3868,0.00,0.00,34661
1781298775,47.4,maxram=32768/idle,32039,938,31101,32768,0,32768,3870,0.00,0.00,34648
1781298777,49.5,maxram=32768/idle,32039,30732,1306,2988,29780,32768,3871,0.00,0.00,34994
1781298779,51.5,maxram=32768/idle,32039,30718,1320,2988,29780,32768,3878,0.00,0.00,34865
1781298781,53.5,maxram=32768/idle,32039,30720,1319,2988,29780,32768,3879,0.00,0.00,34230
