ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781295785,0.0,maxram=8192/idle,32039,1044,30995,32768,0,32768,3222,0.00,0.00,33718
1781295787,2.1,maxram=8192/idle,7931,286,7644,8192,0,8192,1636,0.00,0.00,35211
1781295789,4.1,maxram=8192/idle,7931,573,7358,8192,0,8192,2131,0.00,0.00,34709
1781295791,6.1,maxram=8192/idle,7931,574,7357,8192,0,8192,2133,0.00,0.00,33663
1781295794,8.4,maxram=8192/idle,7931,603,7328,8192,0,8192,2167,0.00,0.00,33502
1781295796,10.4,maxram=8192/idle,7931,651,7280,8192,0,8192,2214,0.00,0.00,33439
1781295798,12.5,maxram=8192/idle,7931,695,7236,8192,0,8192,2272,0.00,0.00,33099
1781295800,14.5,maxram=8192/idle,7931,702,7229,8192,0,8192,2289,0.00,0.00,33314
1781295802,16.5,maxram=8192/idle,7931,697,7234,8192,0,8192,2313,0.00,0.00,33238
1781295804,18.6,maxram=8192/idle,7931,693,7237,8192,0,8192,2316,0.00,0.00,33399
1781295806,20.6,maxram=8192/idle,7931,699,7232,8192,0,8192,2334,0.00,0.00,33233
1781295808,22.6,maxram=8192/idle,7931,742,7189,8192,0,8192,2376,0.00,0.00,33132
1781295810,24.7,maxram=8192/idle/n=10,7931,737,7194,8192,0,8192,2403,0.00,0.00,32995
1781295812,26.7,maxram=8192/idle/n=10,7931,760,7171,8192,0,8192,2417,0.00,0.00,33418
1781295814,28.7,maxram=8192/idle/n=20,7931,829,7102,8192,0,8192,2465,0.00,0.00,33516
1781295816,30.8,maxram=8192/idle/n=20,7931,857,7074,8192,0,8192,2497,0.00,0.00,33487
1781295818,32.8,maxram=8192/idle/n=20,7931,872,7059,8192,0,8192,2517,0.00,0.00,33476
1781295820,34.9,maxram=8192/idle/n=20,7931,868,7063,8192,0,8192,2517,0.00,0.00,33465
1781295822,36.9,maxram=8192/idle/n=20,7931,891,7040,8192,0,8192,2536,0.00,0.00,33418
1781295824,39.0,maxram=8192/idle/n=30,7931,923,7008,8192,0,8192,2572,0.00,0.00,33386
1781295826,41.0,maxram=8192/idle/n=30,7931,964,6967,8192,0,8192,2609,0.00,0.00,33301
1781295828,43.0,maxram=8192/idle/n=40,7931,1009,6922,8192,0,8192,2648,0.00,0.00,33284
1781295830,45.1,maxram=8192/idle/n=40,7931,1033,6898,8192,0,8192,2686,0.00,0.00,33390
1781295832,47.1,maxram=8192/idle/n=50,7931,6705,1226,2600,5592,8192,2735,0.00,0.00,33371
1781295834,49.1,maxram=8192/idle/n=50,7931,6703,1228,2600,5592,8192,2766,0.00,0.00,33396
1781295836,51.2,maxram=8192/idle/n=50,7931,6728,1203,2600,5592,8192,2799,0.00,0.00,33353
1781295838,53.2,maxram=8192/idle/n=60,7931,6781,1150,2600,5592,8192,2849,0.00,0.00,33406
1781295840,55.2,maxram=8192/idle/n=60,7931,6807,1124,2600,5592,8192,2879,0.00,0.00,33370
1781295843,57.2,maxram=8192/idle/n=70,7931,6841,1090,2600,5592,8192,2921,0.00,0.00,33619
1781295845,59.3,maxram=8192/idle/n=70,7931,6893,1038,2600,5592,8192,2968,0.00,0.00,33607
1781295847,61.8,maxram=8192/idle/n=70,7931,6902,1029,2600,5592,8192,2972,0.00,0.00,33789
1781295849,63.8,maxram=8192/idle/n=70,7931,6916,1015,2600,5592,8192,2986,0.00,0.00,33702
1781295851,65.8,maxram=8192/idle/n=80,7931,6964,967,2600,5592,8192,3031,0.00,0.00,33334
1781295853,67.9,maxram=8192/idle/n=80,7931,6977,953,2600,5592,8192,3057,0.00,0.00,33481
1781295855,69.9,maxram=8192/idle/n=90,7931,7028,902,2600,5592,8192,3102,0.00,0.00,34040
1781295857,71.9,maxram=8192/idle/n=90,7931,7064,867,2600,5592,8192,3139,0.00,0.00,35205
1781295859,74.0,maxram=8192/idle/n=90,7931,7108,822,2600,5592,8192,3185,0.00,0.00,34250
1781295861,76.0,maxram=8192/idle/n=100,7931,7118,813,2600,5592,8192,3211,0.00,0.00,35334
1781295863,78.0,maxram=8192/idle/n=100,7931,7141,790,2600,5592,8192,3380,0.00,0.00,35144
1781295865,80.0,maxram=8192/idle/n=110,7931,6669,1262,3121,5071,8192,3642,0.00,0.00,34236
1781295867,82.1,maxram=8192/idle/n=110,7931,6702,1229,3121,5071,8192,3756,0.00,0.00,34014
1781295869,84.1,maxram=8192/idle/n=110,7931,6742,1189,3121,5071,8192,4030,0.00,0.00,33732
